case,location,city or county,date,summary,fatalities,injured,total_victims,venue,prior signs of mental health issues,mental health - details,weapons obtained legally,where obtained,type of weapons,weapon details,race,gender,sources,mental health sources,latitude,longitude,type,year
,Georgia,Atlanta,11/29/14,1600 block of Richmond Avenue,3,2,5,,,,,,,,,,,,,,,
,Tennessee,Memphis,11/28/14,1849 East Brooks Road ,0,4,4,,,,,,,,,,,,,,,
,Texas,Georgetown,11/27/14,Pvt Rd 934,2,3,5,,,,,,,,,,,,,,,
,California,San Francisco,11/26/14,Mission and 13th streets,0,6,6,,,,,,,,,,,,,,,
,Virginia,Parksley,11/23/14,Parksley Road,0,4,4,,,,,,,,,,,,,,,
,Colorado,Denver,11/23/14,Federal Boulevard and 16th Avenue,1,4,5,,,,,,,,,,,,,,,
,Ohio,Cleveland,11/22/14,1443 E 92nd St,4,1,5,,,,,,,,,,,,,,,
,South Dakota,Sisseton,11/22/14,Fourth Avenue,4,1,5,,,,,,,,,,,,,,,
,Ohio,Springfield,11/22/14,Clifton Avenue and Rice Street,1,3,4,,,,,,,,,,,,,,,
,Pennsylvania,Pittsburgh,11/21/14,600 block of Miller Avenue,0,6,6,,,,,,,,,,,,,,,
,Illinois,Chicago,11/19/14,700 block of North St. Louis Avenue,1,3,4,,,,,,,,,,,,,,,
,Nevada,North Las Vegas,11/18/14,Englestad Street,0,4,4,,,,,,,,,,,,,,,
,Ohio,Akron,11/16/14,1891 East Market Street,1,4,5,,,,,,,,,,,,,,,
,Texas,El Paso,11/16/14,115 S. Durango,0,6,6,,,,,,,,,,,,,,,
,Missouri,Springfield,11/15/14,2555 N. Glenstone,4,0,4,,,,,,,,,,,,,,,
,Florida,Miami,11/15/14,NW 55th and 12th,1,3,4,,,,,,,,,,,,,,,
,California,Pomona,11/8/14,499 E. Arrow Highway,0,5,5,,,,,,,,,,,,,,,
,California,Compton,11/7/14,136th Street ,0,4,4,,,,,,,,,,,,,,,
,California,Los Angeles,11/7/14,East 126th Street and North Compton Avenue,0,4,4,,,,,,,,,,,,,,,
,California,San Francisco,11/5/14,1100 block of Alabama Street ,0,4,4,,,,,,,,,,,,,,,
,Tennessee,Memphis,10/29/14,Yale Road and Ramill Road,0,5,5,,,,,,,,,,,,,,,
,Kentucky,Cadiz,10/26/14,1410 Old Dover Road,4,0,4,,,,,,,,,,,,,,,
,California,Sacramento,10/24/14,2030 Arden Way,2,3,5,,,,,,,,,,,,,,,
,Washington,Marysville,10/24/14,5611 108th St NE,5,1,6,,,,,,,,,,,,,,,
,New York,Queens,10/18/14,33-02 Queens Blvd,0,4,4,,,,,,,,,,,,,,,
,South Carolina,Graniteville,10/18/14,192 Breezy Hill Road,1,3,4,,,,,,,,,,,,,,,
,New York,Brooklyn,10/18/14,Lenox Road,0,4,4,,,,,,,,,,,,,,,
,Michigan,Detroit,10/16/14,Mogul Street,1,3,4,,,,,,,,,,,,,,,
,Georgia,Peachtree Corners,10/14/14,6505 Bannor Lane,3,2,5,,,,,,,,,,,,,,,
,Georgia,Atlanta,10/13/14,85 Mount Zion Road,0,4,4,,,,,,,,,,,,,,,
,Georgia,Atlanta,10/12/14,Arthur Langford Jr Place,1,3,4,,,,,,,,,,,,,,,
,California,Stockton,10/12/14,1100 block of East March Lane,3,1,4,,,,,,,,,,,,,,,
,New York,Utica,10/11/14,222 Bleecker Street,0,5,5,,,,,,,,,,,,,,,
,Georgia,Atlanta,10/8/14,Auburn Avenue and Edgewood Avenue,0,4,4,,,,,,,,,,,,,,,
,New York,Guilderland,10/8/14,1846 Western Ave,4,0,4,,,,,,,,,,,,,,,
,Florida,Jacksonville,10/5/14,7300 block of Linda Drive,3,1,4,,,,,,,,,,,,,,,
,Michigan,Detroit,10/5/14,East 7 Mile Road and Sherwood Street,1,5,6,,,,,,,,,,,,,,,
,Tennessee,Memphis,10/4/14,1400 block of Gherald Street,2,2,4,,,,,,,,,,,,,,,
,California,Pomona,10/4/14,1925 West Holt Avenue ,0,4,4,,,,,,,,,,,,,,,
,South Carolina,Walterboro,9/29/14,29 Sandy Dam Lane,1,7,8,,,,,,,,,,,,,,,
,California,Fresno,9/29/14,2300 block of West Fountain Way ,0,4,4,,,,,,,,,,,,,,,
,Pennsylvania,Philadelphia,9/28/14,2800 block of Hope Street,0,4,4,,,,,,,,,,,,,,,
,Florida,Miami,9/28/14,NW 7th Ave and NW 64th Street,0,15,15,,,,,,,,,,,,,,,
,Missouri,St. Louis,9/27/14,2000 block East John Avenue,0,5,5,,,,,,,,,,,,,,,
,South Carolina,Darlington County,9/26/14,600 block of Turner Road,1,4,5,,,,,,,,,,,,,,,
,Ohio,East Liverpool,9/21/14,440 First St,0,4,4,,,,,,,,,,,,,,,
,Mississippi,Panola County,9/20/14,N/A,2,2,4,,,,,,,,,,,,,,,
,New York,Queens,9/19/14,32-14 106th St,0,4,4,,,,,,,,,,,,,,,
,Florida,Bell,9/18/14,NW 30th Street and NW 39th Terrace,8,0,8,,,,,,,,,,,,,,,
,Louisiana,New Orleans,9/15/14,Chef Menteur Highway and Dale Street,0,5,5,,,,,,,,,,,,,,,
,Texas,Flour Bluff,9/14/14,229 Naval Air Station Drive,3,1,4,,,,,,,,,,,,,,,
,Alaska,Anchorage,9/14/14,225 E Fifth,0,6,6,,,,,,,,,,,,,,,
,Michigan,Detroit,9/11/14,14000 block of Patton,1,7,8,,,,,,,,,,,,,,,
,Florida,Orlando,9/6/14,2015 Orange Blossom Trail,0,4,4,,,,,,,,,,,,,,,
,Georgia,Macon,9/6/14,576 Poplar Street,0,5,5,,,,,,,,,,,,,,,
,Michigan,Flint,9/4/14,2400 block of Martin Luther King Boulevard,0,5,5,,,,,,,,,,,,,,,
,California,Los Angeles,9/3/14,East 27th and Stanford ,0,6,6,,,,,,,,,,,,,,,
,California,Highland,9/2/14,25000 block of Fifth Street ,0,5,5,,,,,,,,,,,,,,,
,Mississippi,Jackson,9/2/14,3622 Medgar Evers Boulevard,2,3,5,,,,,,,,,,,,,,,
,California,Livermore,8/31/14,200 block of South Q Street ,0,5,5,,,,,,,,,,,,,,,
,Florida,Brooksville,8/29/14,820 Peach St,3,1,4,,,,,,,,,,,,,,,
,Michigan,Detroit,8/27/14,16600 block of Edmore,1,3,4,,,,,,,,,,,,,,,
,Georgia,Augusta,8/24/14,1013 Carrie Street,1,3,4,,,,,,,,,,,,,,,
,California,San Fernando,8/24/14,1400 block of Celis Street ,3,4,7,,,,,,,,,,,,,,,
,Illinois,Chicago,8/24/14,8300 block of South Halsted Street,1,3,4,,,,,,,,,,,,,,,
,Tennessee,Memphis,8/20/14,1400 block of Briarcrest Lane,0,5,5,,,,,,,,,,,,,,,
,Louisiana,St. Martinville,8/18/14,Main and Hyacinth streets,0,4,4,,,,,,,,,,,,,,,
,Massachusetts,Boston,8/17/14,Edinboro Street,0,4,4,,,,,,,,,,,,,,,
,California,East Palo Alto,8/17/14,Purdue Street and Georgetown Avenue,1,3,4,,,,,,,,,,,,,,,
,Nevada,Las Vegas,8/17/14,Owens Avenue and H Street,0,4,4,,,,,,,,,,,,,,,
,New York,Queens,8/17/14,153-38 118th Ave,0,4,4,,,,,,,,,,,,,,,
,New Jersey,Plainfield,8/16/14,West 3rd Street and Monroe Avenue,1,3,4,,,,,,,,,,,,,,,
,Utah,Salt Lake City,8/16/14,122 Pierpont Avenue,0,6,6,,,,,,,,,,,,,,,
,Tennessee,Memphis,8/14/14,797 Pope Street,1,3,4,,,,,,,,,,,,,,,
,Tennessee,Clarksville,8/13/14,Treeland Drive,0,4,4,,,,,,,,,,,,,,,
,Louisiana,New Orleans,8/13/14,New Orleans and North Rocheblave streets,0,4,4,,,,,,,,,,,,,,,
,Georgia,Cartersville,8/12/14,Brent Cir,2,3,5,,,,,,,,,,,,,,,
,New York,Buffalo,8/12/14,Oakmont Avenue,1,3,4,,,,,,,,,,,,,,,
,Louisiana,New Orleans,8/10/14,5400 block of Burgundy St,2,5,7,,,,,,,,,,,,,,,
,California,Moreno Valley,8/10/14,16300 block of Heather Glen Road ,0,7,7,,,,,,,,,,,,,,,
,District of Columbia,Washington,8/10/14,N Street SW,0,6,6,,,,,,,,,,,,,,,
,Georgia,Wrightsville,8/10/14,N/A,0,6,6,,,,,,,,,,,,,,,
,Minnesota,Minneapolis,8/9/14,400 3rd Ave N,1,8,9,,,,,,,,,,,,,,,
,Wisconsin,Milwaukee,8/8/14,3000 block of N. 28th Street ,0,4,4,,,,,,,,,,,,,,,
,New Mexico,Albuquerque,8/8/14,3426 Vassar NE,1,3,4,,,,,,,,,,,,,,,
,District of Columbia,Washington,8/8/14,Second Street and Todd Place NE,0,4,4,,,,,,,,,,,,,,,
,California,Bakersfield,8/6/14,1700 block of Quincy Street ,3,1,4,,,,,,,,,,,,,,,
,Georgia,Atlanta,8/4/14,1100 block of Joseph E. Boone Boulevard NW,0,5,5,,,,,,,,,,,,,,,
,Texas,Humble,8/3/14,3403 FM 1960,0,7,7,,,,,,,,,,,,,,,
,Missouri,St. Louis,8/3/14,5200 block of Thekla ,0,5,5,,,,,,,,,,,,,,,
,Virginia,Culpeper,8/3/14,4400 block of Rixeyville Road,5,0,5,,,,,,,,,,,,,,,
,Tennessee,Columbia,8/3/14,East 9th Street and Bridge Street,0,5,5,,,,,,,,,,,,,,,
,Texas,Dallas,8/2/14,5125 Wynell Street,3,1,4,,,,,,,,,,,,,,,
,Pennsylvania,Pittsburgh,8/2/14,Penn Avenue and 29th Street,1,5,6,,,,,,,,,,,,,,,
,Massachusetts,New Bedford,8/2/14,Acushnet Avenue,0,7,7,,,,,,,,,,,,,,,
,Pennsylvania,Philadelphia,8/1/14,1500 block of South Etting Street,1,3,4,,,,,,,,,,,,,,,
,North Carolina,Hope Mills,7/30/14,926 Bramblegate Road,3,2,5,,,,,,,,,,,,,,,
,Pennsylvania,Philadelphia,7/28/14,4900 block of North Front Street,1,4,5,,,,,,,,,,,,,,,
,Missouri,St. Louis,7/27/14,2000 block of East John Avenue,0,5,5,,,,,,,,,,,,,,,
,Arkansas,Pine Bluff,7/26/14,N/A,1,3,4,,,,,,,,,,,,,,,
,Georgia,Sylvester,7/26/14,Royal Street,0,8,8,,,,,,,,,,,,,,,
,Maine,Saco,7/26/14,35 Water Street,5,0,5,,,,,,,,,,,,,,,
,Illinois,Chicago,7/25/14,700 South California Avenue,1,6,7,,,,,,,,,,,,,,,
,Pennsylvania,Braddock,7/23/14,700 block of Hickory St,0,4,4,,,,,,,,,,,,,,,
,New Jersey,Irvington,7/21/14,36 Welland Avenue,0,6,6,,,,,,,,,,,,,,,
,Tennessee,Memphis,7/21/14,300 block of Foote Park Lane,0,4,4,,,,,,,,,,,,,,,
,Illinois,East St. Louis,7/20/14,5103 block of Bunkum Rd,1,3,4,,,,,,,,,,,,,,,
,Nevada,Las Vegas,7/20/14,Rancho Drive 3400 block ,1,3,4,,,,,,,,,,,,,,,
,Illinois,Chicago,7/19/14,1300 North Mason Avenue,0,4,4,,,,,,,,,,,,,,,
,California,Sacramento,7/14/14,Fulton Avenue ,1,4,5,,,,,,,,,,,,,,,
,Connecticut,Stamford,7/13/14,84 West Park Place,0,5,5,,,,,,,,,,,,,,,
,District of Columbia,Washington,7/13/14,1700 block of Lincoln Road NE,0,4,4,,,,,,,,,,,,,,,
,Washington,Skyway,7/13/14,12600 Renton Avenue South ,0,5,5,,,,,,,,,,,,,,,
,California,Pasadena,7/12/14,1700 block of Summit Avenue,3,2,5,,,,,,,,,,,,,,,
,Illinois,Chicago,7/11/14,5200 West Quincy Street,1,3,4,,,,,,,,,,,,,,,
,Texas,Spring,7/9/14,711 Leaflet Ln,6,1,7,,,,,,,,,,,,,,,
,Rhode Island,Providence,7/8/14,35 March Street,0,5,5,,,,,,,,,,,,,,,
,Kentucky,Stopover,7/7/14,KY 194E,0,4,4,,,,,,,,,,,,,,,
,California,San Bernardino,7/7/14,312  E Baseline Street ,1,4,5,,,,,,,,,,,,,,,
,Florida,Miami,7/6/14,NW 20th Ave and NW 62nd St,2,2,4,,,,,,,,,,,,,,,
,Missouri,St. Louis,7/6/14,4600 block of Natural Bridge Avenue,0,4,4,,,,,,,,,,,,,,,
,New York,Buffalo,7/6/14,100 block of Erb Street,0,4,4,,,,,,,,,,,,,,,
,Michigan,Kalamazoo,7/5/14,N/A,0,4,4,,,,,,,,,,,,,,,
,Virginia,Norfolk,7/5/14,861 W. 36th Street,0,7,7,,,,,,,,,,,,,,,
,Oregon,Portland,7/5/14,333 SE 122ND Ave,1,4,5,,,,,,,,,,,,,,,
,Indiana,Indianapolis,7/5/14,Broad Ripple Avenue,0,7,7,,,,,,,,,,,,,,,
,Illinois,Centreville,7/5/14,4700 Piggott Avenue,0,5,5,,,,,,,,,,,,,,,
,Texas,Houston,7/5/14,1700 Almeda-Genoa,0,6,6,,,,,,,,,,,,,,,
,Virginia,Norfolk,7/4/14,1722 Thurgood Street,0,5,5,,,,,,,,,,,,,,,
,Pennsylvania,Chester,7/2/14,1400 block of West Congress Street,0,5,5,,,,,,,,,,,,,,,
,Kentucky,Lexington,6/30/14,Scottsdale Circle,1,3,4,,,,,,,,,,,,,,,
,Louisiana,New Orleans,6/29/14,700 block of Bourbon St,1,9,10,,,,,,,,,,,,,,,
,Missouri,St. Louis,6/29/14,2800 block of Dayton,0,4,4,,,,,,,,,,,,,,,
,California,Los Angeles,6/29/14,1100 block of North Vermont Avenue,1,5,6,,,,,,,,,,,,,,,
,California,Antioch,6/28/14,5500 Cedar Point Way,0,7,7,,,,,,,,,,,,,,,
,New York,Manhattan,6/28/14,Fifth Avenue and West 139th Street,0,4,4,,,,,,,,,,,,,,,
,California,San Diego,6/27/14,1600 block of Cathy Street,1,3,4,,,,,,,,,,,,,,,
,Wisconsin,Milwaukee,6/26/14,24th and Locust,0,5,5,,,,,,,,,,,,,,,
,Michigan,Detroit,6/26/14,Grand St,2,2,4,,,,,,,,,,,,,,,
,Massachusetts,Lowell,6/25/14,Midland Street,0,5,5,,,,,,,,,,,,,,,
,Florida,Miami,6/24/14,Northwest 12th Avenue and 65th Street,2,7,9,,,,,,,,,,,,,,,
,California,Windsor,6/22/14,Windsor Avenue,1,3,4,,,,,,,,,,,,,,,
,District of Columbia,Washington,6/21/14,Florida Avenue and U Street NW,0,4,4,,,,,,,,,,,,,,,
,Tennessee,Memphis,6/21/14,2119 East Alcy Road,0,5,5,,,,,,,,,,,,,,,
,Maryland,Seat Pleasant,6/20/14,6600 block of Greig Street,0,4,4,,,,,,,,,,,,,,,
,Indiana,Kokomo,6/15/14,5100 Clinton Drive,0,4,4,,,,,,,,,,,,,,,
,Illinois,Park Forest,6/15/14,200 Berry Street,0,4,4,,,,,,,,,,,,,,,
,California,Los Angeles,6/13/14,8600 block of South Figueroa Street,3,1,4,,,,,,,,,,,,,,,
,New Jersey,Paterson,6/9/14,Rosa Parks Boulevard and Godwin Avenue,0,6,6,,,,,,,,,,,,,,,
,Alabama,Opp,6/8/14,611 Hardin Street,1,4,5,,,,,,,,,,,,,,,
,South Carolina,Moncks Corner,6/7/14,Tish Lane,1,5,6,,,,,,,,,,,,,,,
,Michigan,Oak Park,6/7/14,10811 W. Ten Mile Rd.,1,3,4,,,,,,,,,,,,,,,
,Illinois,Chicago,6/4/14,4900 West West End Avenue,1,3,4,,,,,,,,,,,,,,,
,Georgia,Atlanta,6/3/14,Auburn Avenue,1,4,5,,,,,,,,,,,,,,,
,Illinois,Chicago,6/2/14,2660 E. 79th St,0,7,7,,,,,,,,,,,,,,,
,Illinois,Chicago,6/1/14,West Ferdinand Street and North Lavergne Avenue ,1,5,6,,,,,,,,,,,,,,,
,California,Sacramento,6/1/14,6500 46th Street,0,4,4,,,,,,,,,,,,,,,
,California,San Bernardino,5/31/14,N/A,1,3,4,,,,,,,,,,,,,,,
,Ohio,Toledo,5/25/14,2100 block of Joffre Avenue,1,3,4,,,,,,,,,,,,,,,
,South Carolina,Myrtle Beach,5/24/14,Ocean Boulevard near First Avenue North,3,1,4,,,,,,,,,,,,,,,
,Michigan,Detroit,5/24/14,Strathmoor Street,0,4,4,,,,,,,,,,,,,,,
,California,Goleta (Isla Vista),5/23/14,840 Embarcadero Del Norte,4,8,12,,,,,,,,,,,,,,,
,Louisiana,New Orleans,5/23/14,6200 block of Eads Street,1,7,8,,,,,,,,,,,,,,,
,California,Bellflower,5/23/14,9541 Flower Street,2,2,4,,,,,,,,,,,,,,,
,Texas,Dallas,5/21/14,4500 block of Village Fair Drive,1,3,4,,,,,,,,,,,,,,,
,Ohio,Sandusky,5/18/14,1643 Cleveland Rd,0,7,7,,,,,,,,,,,,,,,
,California,Coachella,5/17/14,84000 block of Pedro Drive,1,3,4,,,,,,,,,,,,,,,
,District of Columbia,Washington,5/17/14,2200 block of Adams Place NE,0,5,5,,,,,,,,,,,,,,,
,Georgia,Atlanta,5/13/14,Panther Trail and Childress Drive,0,5,5,,,,,,,,,,,,,,,
,Illinois,Chicago,5/12/14,3400 West 24th Street,0,4,4,,,,,,,,,,,,,,,
,California,Sacramento,5/11/14,Peregrine Park,1,6,7,,,,,,,,,,,,,,,
,Tennessee,Memphis,5/11/14,2517 Shasta,0,7,7,,,,,,,,,,,,,,,
,Georgia,Stone Mountain,5/10/14,1100 To Lani Farm Road,1,3,4,,,,,,,,,,,,,,,
,Georgia,Decatur,5/10/14,Shamrock Drive ,2,3,5,,,,,,,,,,,,,,,
,California,Sacramento,5/10/14,Natomas,1,6,7,,,,,,,,,,,,,,,
,Illinois,Chicago,5/4/14,500 West Erie Street,1,3,4,,,,,,,,,,,,,,,
,Colorado,Wheat Ridge,5/4/14,12100 W 44th,0,4,4,,,,,,,,,,,,,,,
,Arkansas,Jonesboro,5/3/14,2201 Moore Road; Dalton Farmer Drive; County Road 664,4,4,8,,,,,,,,,,,,,,,
,Illinois,Chicago,4/30/14,7200 South Phillips Avenue,0,4,4,,,,,,,,,,,,,,,
,Georgia,Kennesaw,4/29/14,1675 Airport Road,1,6,7,,,,,,,,,,,,,,,
,New York,Troy,4/27/14,Fourth Street,0,5,5,,,,,,,,,,,,,,,
,Tennessee,Memphis,4/25/14,2000 Chelsea Avenue,2,3,5,,,,,,,,,,,,,,,
,California,Los Angeles,4/22/14,6419 Brynhurst Avenue,1,3,4,,,,,,,,,,,,,,,
,Illinois,Montgomery,4/20/14,1300 block of Jackson St,0,6,6,,,,,,,,,,,,,,,
,Florida,Tampa,4/20/14,2902 N. 32nd St.,2,2,4,,,,,,,,,,,,,,,
,Illinois,Chicago,4/20/14,6600 South Michigan Ave,0,5,5,,,,,,,,,,,,,,,
,District of Columbia,Washington,4/14/14,1500 block of 19th Street,0,4,4,,,,,,,,,,,,,,,
,Louisiana,New Orleans,4/12/14,2100 block of Pauger Street,1,3,4,,,,,,,,,,,,,,,
,Indiana,Richmond,4/11/14,North 15th and H Streets,0,4,4,,,,,,,,,,,,,,,
,Tennessee,Lookout Valley,4/9/14,Kellys Ferry Road and Kellys Ferry Place,3,1,4,,,,,,,,,,,,,,,
,Illinois,Rockford,4/9/14,300 North Sunset,0,4,4,,,,,,,,,,,,,,,
,Louisiana,New Orleans,4/7/14,500 block of South Alexander Street,0,4,4,,,,,,,,,,,,,,,
,Massachusetts,Springfield,4/6/14,90 Worthington St.,0,4,4,,,,,,,,,,,,,,,
,Oklahoma,Oklahoma City,4/6/14,Northwest 29th Street and Portland Avenue,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,4/5/14,4300 W Wilcox Street,1,5,6,,,,,,,,,,,,,,,
,Arizona,Phoenix,4/5/14,West Palm Lane near 54th Avenue,1,3,4,,,,,,,,,,,,,,,
,California,Fairfield,4/5/14,Orchid Street ,0,4,4,,,,,,,,,,,,,,,
,Texas,Fort Hood,4/2/14,Motor Pool Road and Tank Destroyer Boulevard,4,16,20,,,,,,,,,,,,,,,
,Mississippi,Starkville,3/30/14,N/A,0,5,5,,,,,,,,,,,,,,,
,North Carolina,Charlotte,3/30/14,4300 Sunset Road,0,5,5,,,,,,,,,,,,,,,
,Texas,Arlington,3/23/14,2700 Majesty Drive,1,3,4,,,,,,,,,,,,,,,
,California,San Francisco,3/23/14,Turk and Taylor,0,7,7,,,,,,,,,,,,,,,
,California,Long Beach,3/23/14,601 Long Beach Boulevard,1,3,4,,,,,,,,,,,,,,,
,South Carolina,North Charleston,3/21/14,7550 Dorchester Road,0,4,4,,,,,,,,,,,,,,,
,Texas,Beaumont,3/16/14,S 4th St,3,1,4,,,,,,,,,,,,,,,
,Georgia,Waynesboro,3/16/14,4960 Highway 80 West ,0,4,4,,,,,,,,,,,,,,,
,New York,Brooklyn,3/14/14,S. Second and Roebling Sts,0,4,4,,,,,,,,,,,,,,,
,Ohio,Fremont,3/9/14,531 W State St,3,1,4,,,,,,,,,,,,,,,
,Texas,Austin,3/9/14, 4900 block of West Race Avenue,0,6,6,,,,,,,,,,,,,,,
,Illinois,Chicago,3/8/14,4900 West Race Ave,0,6,6,,,,,,,,,,,,,,,
,California,Richmond,3/8/14,1600 block of First Street,1,3,4,,,,,,,,,,,,,,,
,South Carolina,Pelzer,3/5/14,Law Street,3,2,5,,,,,,,,,,,,,,,
,Pennsylvania,Pittsburgh,3/1/14,Hamilton Avenue,1,4,5,,,,,,,,,,,,,,,
,Michigan,Detroit,3/1/14,7800 Gratiot Av.,0,4,4,,,,,,,,,,,,,,,
,Virginia,Glade Spring,2/25/14,Graceland Lane,5,1,6,,,,,,,,,,,,,,,
,California,Wilmington,2/22/14,1200 block of W Papeete St,0,4,4,,,,,,,,,,,,,,,
,Indiana,Indianapolis,2/20/14,3400 block of South Parker,4,0,4,,,,,,,,,,,,,,,
,California,Alturas,2/20/14,300 W 1st St,4,2,6,,,,,,,,,,,,,,,
,Texas,Fort Worth,2/16/14, 115 NW 25th St.,1,4,5,,,,,,,,,,,,,,,
,Florida,Orange County,2/16/14,4500 block of Riviera Shores ,1,6,7,,,,,,,,,,,,,,,
,Florida,Jacksonville,2/16/14,1187 S. Edgewood Ave.,1,4,5,,,,,,,,,,,,,,,
,Texas,Dallas,2/16/14,2600 block of South Harwood Street,1,7,8,,,,,,,,,,,,,,,
,Indiana,Fort Wayne,2/16/14,Lafayette Street and East Tillman Road,0,5,5,,,,,,,,,,,,,,,
,Nevada,Las Vegas,2/15/14,Sahara and Maryland ,0,5,5,,,,,,,,,,,,,,,
,Indiana,Gary,2/12/14,2220 block of Broadway,0,5,5,,,,,,,,,,,,,,,
,California,Oakland,2/12/14,37th and International ,1,3,4,,,,,,,,,,,,,,,
,California,Stockton,2/12/14,Constitution Park,1,3,4,,,,,,,,,,,,,,,
,Florida,Miami,2/7/14,Northwest 41st Street and 9th Avenue ,0,5,5,,,,,,,,,,,,,,,
,Louisiana,New Orleans,2/6/14,4600 block of Downman Road,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,2/5/14,6740 N Clark St,1,3,4,,,,,,,,,,,,,,,
,Indiana,Franklin,2/3/14,2100 block of Bridlewood Dr,3,2,5,,,,,,,,,,,,,,,
,North Carolina,Rocky Mount,1/27/14,821 Word Plaza,0,4,4,,,,,,,,,,,,,,,
,Washington,Seattle,1/27/14,2nd Avenue South and South Main Street,1,4,5,,,,,,,,,,,,,,,
,Illinois,Chicago,1/25/14,S. Union Av and W. 51st St,1,4,5,,,,,,,,,,,,,,,
,Florida,Belle Glade,1/25/14,600 block of Covenant Drive,0,4,4,,,,,,,,,,,,,,,
,New Jersey,Newark,1/21/14,Springfield Avenue ,2,3,5,,,,,,,,,,,,,,,
,Virginia,Manassas,1/20/14,8509 Rixlew Ln,0,4,4,,,,,,,,,,,,,,,
,Utah,Spanish Fork,1/16/14,37 N. 630 West,5,0,5,,,,,,,,,,,,,,,
,Oklahoma,Ardmore,1/16/14,N/A,2,4,6,,,,,,,,,,,,,,,
,California,Los Angeles,1/14/14,West 86th Street,0,4,4,,,,,,,,,,,,,,,
,Michigan,Detroit,1/13/14,800 block of Calvert St,0,4,4,,,,,,,,,,,,,,,
,Louisiana,Tallulah,1/12/14,3600 block of Highway 80 W,0,6,6,,,,,,,,,,,,,,,
,Alabama,Huntsville,1/12/14,University Drive,0,5,5,,,,,,,,,,,,,,,
,Illinois,Elgin,1/12/14,300 block of North Street,0,5,5,,,,,,,,,,,,,,,
,New York,Queens,1/3/14,Farmers Boulevard and 133rd Avenue,1,3,4,,,,,,,,,,,,,,,
,Virginia,Norfolk,1/1/14,Rockingham Street and Berkley Avenue Extended,2,2,4,,,,,,,,,,,,,,,
,Louisiana,New Orleans,12/31/15,1900 block of Amelia Street,0,6,6,,,,,,,,,,,,,,,
,Tennessee,Jackson,12/27/15,North Parkway,0,4,4,,,,,,,,,,,,,,,
,Pennsylvania,Philadelphia,12/26/15,4210 Macalester St,0,4,4,,,,,,,,,,,,,,,
,Florida,Jacksonville,12/25/15,Franklin and Odessa,0,4,4,,,,,,,,,,,,,,,
,Alabama,Mobile,12/25/15,785 Schillinger Rd S,0,4,4,,,,,,,,,,,,,,,
,California,San Leandro,12/21/15,14600 block of East 14th Street,0,4,4,,,,,,,,,,,,,,,
,North Carolina,Wilmington,12/20/15,11th and Castle Street,1,4,5,,,,,,,,,,,,,,,
